name,count,cuda_time_total_ms,is_comm
"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",2401,42704.664511,True
ampere_sgemm_64x32_sliced1x4_nt,3528,13273.377819,False
ampere_sgemm_128x32_tn,3528,9740.836407,False
"ncclDevKernel_SendRecv(ncclDevComm*, unsigned long, ncclWork*)",1225,8584.110786,True
ampere_sgemm_32x128_nn,2352,6592.356894,False
"fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, true, true, false, 64, 64, 64, false>::Params)",1176,5638.492602,False
ampere_sgemm_128x128_nn,1176,4772.007608,False
ampere_sgemm_128x64_tn,1176,4690.063504,False
ampere_sgemm_128x64_nn,1176,3496.574698,False
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",1176,3047.937617,False
ampere_sgemm_64x32_sliced1x4_nn,49,2617.506252,False
void cutlass::Kernel<cutlass_80_simt_sgemm_32x128_8x5_nt_align1>(cutlass_80_simt_sgemm_32x128_8x5_nt_align1::Params),49,2383.639315,False
ampere_sgemm_128x128_tn,49,2361.991068,False
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",14406,1971.466581,False
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3>)",9653,1910.099474,False
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",9506,1750.162365,False
ampere_sgemm_128x64_nt,1176,1161.357272,False
