name,count,cuda_time_total_ms,is_comm
"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",2401,42968.572271,True
ampere_sgemm_64x32_sliced1x4_nt,3528,13386.670076,False
ampere_sgemm_128x32_tn,3528,9811.294013,False
ampere_sgemm_32x128_nn,2352,6585.363715,False
"fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, true, true, false, 64, 64, 64, false>::Params)",1176,5646.487787,False
ampere_sgemm_128x128_nn,1176,4761.660127,False
ampere_sgemm_128x64_tn,1176,4725.505077,False
ampere_sgemm_128x64_nn,1176,3495.233675,False
"ncclDevKernel_SendRecv(ncclDevComm*, unsigned long, ncclWork*)",1225,3142.802754,True
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",1176,3017.335515,False
ampere_sgemm_64x32_sliced1x4_nn,49,2611.718791,False
void cutlass::Kernel<cutlass_80_simt_sgemm_32x128_8x5_nt_align1>(cutlass_80_simt_sgemm_32x128_8x5_nt_align1::Params),49,2381.620390,False
ampere_sgemm_128x128_tn,49,2363.937745,False
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",15631,1992.944328,False
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",14406,1945.082518,False
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 3>)",9653,1815.271845,False
ampere_sgemm_128x64_nt,1176,1166.655022,False
